,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
38,"""Good company for work, good people to work with""",I have been working at Huawei Technologies full-time,"Good company for work, good people to work with",Diversity is not very well,,,,,
39,"""Good pay but poor management/leadership""",I worked at Huawei Technologies full-time for more than a year,Great comp package and salary,Poor performers hired as local senior managers that blames other for their own failures,4.0,3.0,3.0,5.0,1.0
40,"""Work at Huawei""",I worked at Huawei Technologies full-time for more than 8 years,"The salary is good.
Many promotion opportunities.
Can learn new technologies.",work life balance is not very good.,2.0,3.0,4.0,4.0,3.0
41,"""Poor management and politics""",I have been working at Huawei Technologies full-time,Good benefits as a fresh graduate,No roadmap and resources are very much slaves to the company .,1.0,1.0,1.0,2.0,1.0
42,"""Good company - bad timing""",I have been working at Huawei Technologies full-time for more than a year,"Good people, fair compensation and benefits, good quality products",Current US government opinion and pressure towards Huawei,3.0,4.0,3.0,4.0,4.0
43,"""Intern""",I worked at Huawei Technologies ,Nice place to work for.,Work Time is too long.,3.0,3.0,5.0,5.0,5.0
44,"""Enjoyed my time - Casualty of the trade war""",I worked at Huawei Technologies full-time for more than a year,Pay and benefits were very good,"--Everything is controlled out of HQ.  You may think you are in charge of a team or a project, but you are not.  
--A lot of negative press about backdoors and spyware in the products.  FCC is trying to ban Huawei products.  Made it very hard to sell right now, thus they laid off a lot of people
--Sometimes hard to get resources on a project",4.0,4.0,3.0,5.0,3.0
45,"""RF engineer""",I have been working at Huawei Technologies full-time,lots of learn when you are in the right team,only favors certain type of employees,,,,,
46,"""Is not a company where you can identify yourself with their culture""",I have been working at Huawei Technologies full-time,"International company, too many employees","No employer development. The employee is treat as a thing, if he or she doesn't work we will find another one. they dont ask what happen with with employee",1.0,1.0,1.0,1.0,1.0
47,"""Engineer""",I worked at Huawei Technologies full-time for more than 5 years,good with training resource; good compensation,"business going no where, no career improvement path.",1.0,2.0,2.0,4.0,2.0
48,"""Operations Director""",I have been working at Huawei Technologies full-time,Great place to learn. Graet for recent graduates,"No professional growth if you are not chinese, no salary reviews",1.0,3.0,1.0,3.0,1.0
49,"""Software engineer intern""",I worked at Huawei Technologies full-time,Team members are friendly. Salary is quite competitive.,Inefficient work schedule. Heavy workload.,2.0,3.0,4.0,5.0,3.0
50,"""All management is controlled by HQ.""",I have been working at Huawei Technologies full-time,"If you speak Chinese, it is ok..",Very stressful environment. No clear goal in US,1.0,1.0,1.0,3.0,1.0
51,"""good learning""",I worked at Huawei Technologies full-time for more than 3 years,Good hike and good learning,Work load is more. Difficult to manage work life balance,1.0,3.0,3.0,4.0,
52,"""Graduate Engineer""",I worked at Huawei Technologies ,Great opportunity and exposure to various industrial knowledge,My job was a 24/7 profile,3.0,4.0,4.0,3.0,4.0
53,"""Interesting experience""",I worked at Huawei Technologies full-time,"Working for an innovation canter. Learned many new technologies, worked on many projects","many Meetings in Chinese, company with a different culture",,,,,
54,"""core CS""",I have been working at Huawei Technologies full-time for more than 10 years,learn more technologies and work under pression,no social care for the employees,4.0,4.0,5.0,4.0,4.0
55,"""Sales manager""",I worked at Huawei Technologies ,Good company and very big company,I can sale anything you want,,,,,
56,"""Software developer""",I worked at Huawei Technologies full-time for more than 3 years,Good benefits comparing with other companies,Work load is kind of havie,3.0,5.0,4.0,5.0,3.0
57,"""Partnerships Manager""",I worked at Huawei Technologies full-time for more than 5 years,"great pay, great platform and great team to work with. People there work so hard , willing to help each other and there's minimal politics in office.",no very clear or stable strategy for certain products.  It's hard for first-line managers to execute the strategy after 6 months and hard to explain it to partners.,5.0,5.0,5.0,5.0,5.0
58,"""company review""",I worked at Huawei Technologies full-time,not  agood place for work life balance,there are many cons to this job,1.0,2.0,2.0,2.0,1.0
59,"""Analyst""",I worked at Huawei Technologies part-time,Good salary and good opportunity and boss is nice,Intensified working time and tedious work,4.0,4.0,4.0,4.0,4.0
60,"""Super inhumane environment""",I worked at Huawei Technologies full-time,They manage to pay well,"everything else from management, to the environment to training to benefits, it is all really bad.",1.0,1.0,2.0,4.0,1.0
61,"""software engineer""",I worked at Huawei Technologies full-time for more than a year,High compensation and nice coworkers,"Too busy, hard to get work and life balance",3.0,4.0,5.0,5.0,4.0
62,"""Good company""",I worked at Huawei Technologies full-time for more than 5 years,A Leader in Technology in the World,They are a Chinese company so the U.S. is coming after them right now.,4.0,4.0,1.0,5.0,2.0
63,"""Supply chain""",I have been working at Huawei Technologies full-time for more than 8 years,Reward for hard working employees,Work life balance and inflexible work hour,3.0,3.0,4.0,4.0,3.0
64,"""Good place to work at""",I have been working at Huawei Technologies full-time,"Health Care
Mobile and Gym Allowance
PTO
401K Match","Pressure working environment 
Late Nights",3.0,5.0,3.0,5.0,2.0
65,"""Good to begin a career""",I worked at Huawei Technologies ,The company welcome fresh graduates and gives opportunities to practice and grow.,Lof of politics to get promoted and performance appraisals are not accurate as it depends on team you are working in.,3.0,3.0,2.0,3.0,2.0
66,"""Great technology""",I have been working at Huawei Technologies full-time,Great pay Huawei makes quality products,"No direction, leadership has no power",2.0,1.0,1.0,4.0,1.0
67,"""engineer""",I worked at Huawei Technologies full-time,"good work environment, most colleagues are friendly","suck HR, they are so mean and useless",1.0,1.0,2.0,3.0,1.0
68,"""Huawei France Overview""",I have been working at Huawei Technologies full-time for more than 10 years,"Good company culture, transparent management, good salary in industry.","Challenges from telecommunication industry, lot of new technology solution to be learned.",5.0,5.0,5.0,5.0,5.0
69,"""Good company""",I worked at Huawei Technologies full-time for more than 5 years,"Great working environment and culture, very encouraging and supportive",I dont have any cons,5.0,5.0,5.0,5.0,5.0
70,"""software engineer""",I have been working at Huawei Technologies full-time,get to touch latest technology,"need to work closely with HQ team, work at night",3.0,3.0,4.0,4.0,3.0
71,"""Too much work""",I worked at Huawei Technologies ,"Interesting work, good hands on experience for new college grads",Zero work life balance. Need to work lot of late nights,2.0,4.0,5.0,3.0,4.0
72,"""Customer service""",I worked at Huawei Technologies full-time,Very interesting company to work for.,Nothing I can think of.,5.0,4.0,5.0,5.0,5.0
73,"""Business Analyst""",I have been working at Huawei Technologies ,Good working environment and easy to communicate,not ez to connect with HQ,,,,,
74,"""Scare tactic management""",I have been working at Huawei Technologies full-time for more than a year,"Very nice people
Pay is competitive","American Rep Office (ARO) (and any local office) management is run by pawns and translators. they are merely messengers
Job Description and commitment mean nothing
Not a career but a filler. no plan or agenda
useless meetings with no follow-up from management since they TRY to run everything from HQ
do not trust your HR representation and get everything in writing
american rep office is just a front for expats and political move to show they have some kind of representation USA to lure in partners and sales
RUN RUN RUN",1.0,2.0,1.0,2.0,1.0
75,"""Sales Account Manager""",I have been working at Huawei Technologies full-time,"nothing to do most of the time, but you need to let your boss know that you can really speaks English. Most of the people in the office are from China.",They will fire you around 1 year period of time for no reason.,3.0,1.0,1.0,3.0,1.0
76,"""Software Engineer""",I worked at Huawei Technologies full-time,Huawei Force you to grow,"It's Huawei, 9-9 6days a week.",1.0,4.0,4.0,2.0,2.0
77,"""Big company Chinese working culture""",I have been working at Huawei Technologies full-time,Good incentive if you are on the right team,long working hours; may relocate you without your consent,2.0,2.0,3.0,4.0,2.0
78,"""Local manager needs more experience""",I have been working at Huawei Technologies full-time for more than a year,"1. State of art technology
2. Nice working environment","1. Lack detailed technical planning before put engineers on project 
2. Local manager lacks of management experience",4.0,2.0,2.0,4.0,1.0
79,"""Interesting place to work""",I worked at Huawei Technologies full-time,Chances of experimenting with new technologies,Little direct involvement in the Product development,5.0,4.0,3.0,5.0,4.0
