,pro,con
852,energetic corporate leadership,senior leadership waffles
853,excellent separation package,every product
854,the passion,many layers
855,the right manager,authority
856,the year end bonus,products
857,employee health,bubble
858,state,layers
859,the art facility,any real consideration
860,trainers,culture conflict
861,medical insurance,motorola mobility
862,salary level,senior executive talk
863,no match,meetings
864,local market level,no sense
865,the extensive knowledge,overall everyday processes
866,better,date
867,great experience,middle aged men
868,marketing team,millennials
869,the management team,startup
870,processes,10 years
871,cooperation,talent
872,consistent coaching,the executive level
873,good feedback,favorite quote
874,pc,the executive team
875,total compensation lenovo,the ranks
876,urgency,company politics
877,action empowerment,every team
878,information,different dynamic
879,decent pay structure,the the corporate atmosphere
880,leading edge hardware,losing money
881,good opportunities,senior management
882,bonus,more enigneers
883,some good people,little disorganized
884,awesome place,terms
885,super,senior management change
886,growth potential,poor product marketing
887,global,profits
888,always,headcount
889,self development,overall quality
890,small business pains,total ownership
891,all employees,smart risks
892,the only pro,recent quotas
893,operation,cps
894,cost,reasonable success
895,traditional business model,initial hire
896,global team,recruiter
897,multi,few opportunities
898,front line salespeople,direct
899,efforts,employee
900,all salespeople,so far
901,diversified team,no complaints
902,benefit,management doesnt care
903,global user research studies,political bs
904,many professional research experts,balance
905,some flexibility,challenge
906,work life blance,much the old boys
907,engineering talent,career path
908,industry awesome work environment,the right connection
909,the technology,the last place
910,the client side,early morning meetings
911,,future technology
912,,very frequent layoff
913,,readership absence
914,,business results
915,,massive reorganizations
916,,insufficient planning
917,,many reorganization
918,,the years
919,,many corporate decisions
920,,the phone
921,,spending
922,,less
923,,no engineer culture
924,,engineer work
925,,death
926,,planner
927,,plenty
928,,free time
929,,the senior leadership
930,,an executive level
931,,too many good executives
932,,bad press
933,,no upward mobility
934,,the workforce
935,,someone
936,,attrition
937,,the position
938,,manager
939,,policy
940,,the person
941,,enough people
942,,the existing load
943,,much offshoring positions
944,,the positions
945,,program management
946,,information development
947,,tech writing
948,,english
949,,positions
950,,pm
951,,taiwan
952,,the group
953,,romania
954,,the taiwanese pm
955,,everyone else
956,,work life balance
957,,less syndrome
958,,friend
959,,caution
960,,many layoffs
961,,food
962,,shifts
963,,corporate
964,,ctg employee
965,,temp agency
966,,good luck
967,,fte
968,,major role
969,,regular evening phone
970,,bed
971,,evening phone calls
972,,main office
973,,raleigh
974,,few offices
975,,the old boys club
976,,the equipment
977,,wish
978,,flex time
979,,the company revenues
980,,protected class
981,,bad management decisions
982,,agile
983,,environment
984,,the time
985,,overtimes
986,,very little
987,,no recognition
988,,achievements
989,,upper management changes
990,,180 degrees
991,,product development decisions
992,,not enough career advancement
993,,company culture problems
994,,pc industry
995,,pains
996,,mobile
997,,data center
998,,high market expectations
999,,lenovo leadership
1000,,high margins
1001,,high market share
1002,,hostile work environment
1003,,harrasment
1004,,bullying
1005,,alot
