,pro,con
1285,culture,pure laziness
1286,vacation,dumb hierarchy
1287,remote work,countless people
1288,few talented people,
1289,tons,ibm
1290,resources,amount
1291,good,years
1292,relationships,
1293,great collaboration,inappropriate boomer jokes
1294,peers,unjust comments
1295,awesome,gender
1296,resources,race
1297,watson applications,sexual orientation
1298,cloud services,meetings
1299,recently,connecticut
1300,lots,they
1301,freedom,50
1302,variety,wisconsin
1303,worthy research topics,lack
1304,great colleagues,respect
1305,lots,themselves
1306,smart people,others
1307,lots,
1308,flexibility,you
1309,home,the market
1310,many,training
1311,,all
1312,great company,sometimes the processes
1313,benefits,the shuffle
1314,work life balance,layoffs
1315,ability,many project managers
1316,home,not enough work
1317,ibm,it
1318,interactive experience,bad project
1319,ton,full year
1320,opportunities,
1321,great community,no green card processing
1322,designers,no fixed projects
1323,top notch thinkers,headquarter
1324,ethical tech company,armonk
1325,comparison,serious detractor
1326,other giants,young professionals
1327,good,the city
1328,plan,office politics
1329,some good people,
1330,giant company,the decisions
1331,great benefits,sr
1332,great training,leadership sometimes
1333,this location,lack
1334,they,transparency
1335,me,huge knowledge gap
1336,comfort,experienced employees
1337,large org,younger
1338,good pay,the company
1339,benefits,curve
1340,decent,no gc processing
1341,lot,less
1342,nice people,salary
1343,field service,some
1344,general,the worst management
1345,pro,corporation
1346,everyone,high base salary
1347,you,lower bonus potential
1348,the feeling,you
1349,manager,bad manager growth
1350,environment,extreme amount
1351,ibm,bureaucracy
1352,it,bogs
1353,great place,agile development
1354,the world,the status quo
1355,lots,it
1356,internal job opportunities,many mediocre employees
1357,you,team
1358,place,team
1359,corporate culture,ibm
1360,lots,employees
1361,good,poor job performance
1362,,an effort
1363,this,management
1364,it,poor not many opportunities
1365,wonderful experience,conflicting directives
1366,large finance organization,customer needs
1367,plenty,lot
1368,opportunities,red tape
1369,this,some parts
1370,ibm,benefits package
1371,great people,uncertain
1372,great culture,the ceo
1373,interesting projects,low pay
1374,it,other
1375,paycheck,the industry
1376,ability,technology
1377,work,attorneys
1378,good opportunity,pace
1379,experience only,competitors
1380,resources,career advancement
1381,education,you
1382,great people,favored group
1383,with,too big
1384,great growth skills opportunities,many
1385,new technology,resources actions
1386,large fortune,we
1387,500 companies,part
1388,problems,new team
1389,thus you,clear directions
1390,many,no plans
1391,the largest companies,growth
1392,the world,much stress
1393,the problems,old employments
1394,they,millenials
1395,good place,micromanagement
1396,stuff,unrealistic expectations
1397,,terrible managers
1398,great,too many
1399,people,enough people
1400,,the trenches
