,pro,con
14107,the best part,not great focus
14108,the job,people
14109,the people,ibm
14110,open,years
14111,new ideas,bonuses
14112,they,it
14113,lots,the same company
14114,opportunities,it
14115,employees,constant fear
14116,advancement,layoffs
14117,,no opportunities
14118,myself,new positions
14119,an ibmer,lack
14120,diversity,support
14121,inclusion,resources
14122,,objectives
14123,ibm,you
14124,the powerful ways,many growth opportunities
14125,we,salary
14126,businesses,there
14127,tons,no cons
14128,opportunity,the current time
14129,ideas,the marketing hype
14130,opportunities,ibm
14131,employees,legacy business
14132,good work life,much faster
14133,work,new business
14134,home option,the difference
14135,great company,market level
14136,the iot space,leadership
14137,you,there
14138,cloud,many changes
14139,diverse applications,no
14140,big company,job
14141,ibm,security
14142,company,average salary
14143,diversity,the years
14144,you,too much exec
14145,people,level
14146,all,top heavy org
14147,the world,huge cap
14148,great depth,employee ages
14149,products,no room
14150,industry solutions,growth
14151,services,no budget
14152,large company,salary increases
14153,massive amounts,consistent changes
14154,resources,upper management
14155,opportunities,terrible place
14156,personal development,the right fit
14157,work,me
14158,innovative projects,it
14159,good name recognition,promotion
14160,the world,the company
14161,the candidate,slow motion train wreck
14162,new technologies,earning numbers
14163,there,they
14164,ample amount,tech visionary
14165,opportunities,the
14166,the employee,market
14167,verizon,pay
14168,ibm,respect
14169,,the individual
14170,those,pay
14171,ibm,morale
14172,the beginning,tech
14173,,compensation
14174,ibm,no pension scheme
14175,more organized environment,too many
14176,excellent opportunities,reorgs
14177,clear learning paths,direction
14178,multiple resources,senior leadership
14179,great,faltu politics
14180,the ability,low pay
14181,global level,weak corporate structure
14182,lots,much process
14183,flexibility,ibm
14184,good place,many times
14185,bureauracy,people
14186,benefits,positions
14187,health insurance,they
14188,flex schedule,zero knowledge
14189,training,the
14190,job opportunities,they
14191,job stability,lot
14192,lots,internal politics
14193,variety,great benefits
14194,you,investment
14195,top,future growth
14196,the right place,established products
14197,,decision making
14198,little micromanagement,plans
14199,good,limited trust
14200,solid company reputation,line level assessments
14201,somewhat decent salary,failure
14202,one stop shop,the level
14203,technology solutions,failure
14204,big company lots,salary
14205,avenues,market
14206,this review,people
14207,gbs,the people
14208,rocket center,it
14209,wv,the bottom line
14210,you,people
14211,ibm,the team
14212,this sector,general lot
14213,this location,reorgs
14214,things,many complacent lifers
14215,the rest,the company
14216,the company,blind eye
14217,you,incompetent managers
14218,smaller university,environments
14219,school,respect
14220,big name,the area
14221,you,
14222,good job opportunities,data centers
14223,the future,lots job opportunities
14224,ibm,pay
14225,that,which
14226,,high turnover
14227,the cons section,great talent
14228,this point,the right track
14229,the experience,lots
14230,me,administrative bureaucracy
14231,it,times
14232,this location,management
14233,hours,touch
14234,both washington,they
14235,,you
14236,you,you
14237,there,sales
14238,opportunities,you
14239,you,
14240,you,
14241,health benefits,you
14242,most people,qa
14243,home,every release
14244,week,they
14245,there,the blame game
14246,,bug
14247,you,then
14248,the opportunities,they
14249,you,qa
14250,the company,team
14251,you,the product
14252,you,more time
14253,good consultant,they
14254,you,everyone
14255,lot,they
14256,good consultants,watson health
14257,flexible hours,they
14258,great technical toys,watson
14259,people,the closest
14260,the world,they
14261,some,watson
14262,great groups,bonuses
14263,super smart people,good people
14264,there,other attrition
14265,ibm,stress
14266,great people,teams
14267,great brand,the first few months
14268,they,
14269,themselves,there
14270,technology,no one
14271,they,me
14272,the world,
14273,patents applications,
14274,people,hate
14275,ibm,there
14276,,no spare computer
14277,mentorship,you
14278,some,it
14279,people,the day
14280,strategies,you
14281,comp,campus
14282,legacy,rtp
14283,it,you
14284,,home
14285,one,
14286,high degree,
14287,ambiguity,this
14288,great company,the fact
14289,strong brand,
14290,considerable new faces,week
14291,marketing,the whole wing
14292,strong emphasis,seats
14293,digital,me
14294,unlimited opportunities,big open agile space
14295,skills,
14296,incredible sales training,yep
14297,mock client meetings,less increment
14298,education,no team spirit
14299,real life conversations,there
14300,unlimited learning opportunity,no ground
14301,networking,the constant disruptions
14302,events,transformations
14303,good place,restructuring
14304,culture,the move
14305,average pay,being
14306,event managers,largely
14307,company culture,bricks
14308,team work,one such painful example
14309,autonomy,lives
14310,benefits,
14311,lot,it
14312,experienced researchers,
14313,great teams,other disruptions
14314,opportunity,the move
14315,watson technology,offices
14316,great impact,ibm
14317,the industry,many
14318,the way,the eventual day
14319,we,they
14320,great,they
14321,international jobs,you
14322,experience,ibmese
14323,technologies,you
14324,certificates,one stay
14325,people,such an environment
14326,nice,you
14327,brand,projects
14328,recognition,they
14329,large budget,months
14330,projects,bench
14331,waste,several weeks
14332,times,cbd program
14333,we,massive improvement
14334,it,cbders
14335,,we
14336,home,three managers
14337,the last,all
14338,benefits,them
14339,you,it
14340,some,people
14341,the,you managers
14342,marketing,you
14343,they,code
14344,ibm,some projects
14345,great people,waste
14346,apple equipment,time
14347,great learning experience,chances
14348,variety,it
14349,education,poc
14350,training,pilot
14351,good,lot
14352,geo,project
14353,locations,the pipeline
14354,lots,lots
14355,different medical plans,green card foreign men
14356,cognitive cloud company,senior positions
14357,hardware,not the best culture
14358,solutions,woman
14359,good company,any illusions
14360,good people,employees
14361,work life balance,assets
14362,wfh,you
14363,project,that
14364,you,you
14365,nice people,senior management
14366,plenty,none
14367,benefits,weite
14368,people,strategy
14369,salary,constant change
14370,,direction
14371,the flexibility,marketing
14372,,large company
14373,work,you
14374,the newest technologies,bureaucracy
14375,the stability,there
14376,travel,
14377,great clients,leadership
14378,robust company,lower bands
14379,growth opportunity,executive stay
14380,cbders,rough period
14381,you,assurances
14382,strong foundation,leadership
14383,kick,ibm
14384,business problems,complex organization
14385,size,network
14386,company,organization
14387,many opportunities,mess
14388,interesting work,great deal
14389,lot,red tape
14390,flexibility,no job security
14391,an assignment,corporate intrusion
14392,remarkable people,constant spline reporting
14393,access,management
14394,new hardware,call center
14395,ibm,strict environment
14396,company,short breaks
14397,itself,impressive
14398,the last four years,senior leadership
14399,they,poor execution
14400,lot,acquisitions
14401,time,way
14402,the world,much
14403,better place,confusion
14404,watson healthcare,field sales
14405,the people,clients
14406,the,extremely
14407,us,sales
14408,canada,plan
14409,excellent training,minimal training
14410,growth,corporate
14411,constant changes,hike
14412,technology,sales skills
14413,new challenges,salesmanship
14414,goals,result pay
14415,great people,there
14416,internal education,no creativity
14417,think40,agreements
14418,great colleagues,clients
14419,great problems,sales
14420,flexible schedule,rules
14421,good,the company
14422,great management,no innovation
14423,great opportunities,individual product
14424,big company setting,
14425,flexibility,solutions
14426,decent benefits,it
14427,snacks,big company
14428,soft drinks,company
14429,facility,major restructuring
14430,lots,business
14431,lots,new sales pipeline
14432,self service options,the management layer
14433,technology,the technical layer
14434,websites,project delivery
14435,google searches,there
14436,research,no objective way
14437,some,work
14438,the best people,the right person
14439,the business,the right job
14440,everyone,own good
14441,each other,most
14442,innovative,way
14443,brand,too big
14444,image,company
14445,benefits,lots
14446,decent,redundancies
14447,depending,the consulting practice
14448,option,uneven managers
14449,home,easy
14450,projects,salary
14451,benefits,communication
14452,me,downfall
14453,families,no loyalty
14454,401k match,employees
14455,positive,no severance
14456,the end,packages
14457,the year,layoffs
14458,it,not even
14459,colleagues,long term employees
14460,flexible schedule,other startups
14461,degree,data
14462,intelligent coworkers,after
14463,passionate technologists,employees
14464,market segments,the city
14465,highest,the company
14466,salary,whole
14467,indian market,clearer overall vision
14468,ibm,you
14469,many resources,number
14470,you,there
14471,you,no individual growth plan
14472,ibm,you
14473,global locations,the top
14474,you,it
14475,you,teeth
14476,colleagues,you
14477,there,the next band
14478,helping hand,no one
14479,ibm,the full picture
14480,good managers,it
14481,you,anything
14482,ibm,people
14483,open source software,they
14484,development company,no idea
14485,technical skills,it
14486,date,point
14487,every area,
14488,ibm,those points
14489,employees,
14490,true,most
14491,equal opportunity employer,some managers dont
14492,diverse range,boundaries
14493,role,any sort
14494,opportunities,work life balance
14495,good overall company,time
14496,flexible hours,isnt
14497,good pay,work
14498,no room,any actual work
14499,growth,inflexible
14500,the benefits,hierarchical management style
14501,,excessive time
14502,good work environment,updates
14503,,management
14504,guess,culture
14505,,whitewashing
14506,the pleasure,true solutions
14507,the smartest people,cost cutting
14508,the experiences,travel
14509,super interesting projects,them
14510,wonderful clients,minimum
14511,good work,folks
14512,life balance,remote work
14513,some interesting projects,home
14514,work life balance,employees
14515,the distance,all the time
14516,commute,late hours
14517,great employees,lot
14518,care,time
14519,the benefits,people
14520,good compensation,education opportunities
14521,smart people,many
14522,the rank,state
14523,change,they
14524,genuine interest,layoff
14525,it,layoffs
14526,the department,beaurucratic upper management
14527,you,company
14528,it,it
14529,big company,flaws
14530,international company,enough time
14531,opportunities,it
14532,interface,it
14533,people,immense pressure
14534,different backgrounds,unrealistic top
14535,part,deadlines
14536,company,disgraceful treatment
14537,some,long time
14538,the best inventors,older workers
14539,the past decade,many layoffs
14540,exposure,performance
14541,some,salary
14542,the smartest minds,current employees
14543,industry,new college
14544,new technology,work life balance
14545,ibm,joke
14546,you,there
14547,agile,performance
14548,design thinking,you
14549,artificial intelligence,time
14550,cybersecurity,the
14551,more,large company
14552,there,the
14553,an opportunity,you
14554,you,number
14555,great compensation,not an engineering
14556,benefits,company
14557,team,investment
14558,opportunity,any other aspect
14559,flexible,you
14560,there,people
14561,plenty,no idea
14562,opportunities,they
14563,ibm,bureaucratic
14564,them,lack
14565,you,transparency
14566,the job responsibilities,gamesmanship
14567,you,hr
14568,great managers,corporate
14569,great pay,the real world
14570,excellent work life balance,difficult internal processes
14571,nearly unlimited potential,it
14572,positive work environment,the company
14573,occasional work,large company
14574,home,three different managers
14575,decent vacation,positions
14576,good benefit,you
14577,the door,you
14578,it,new consultant
14579,wow,matrix organization structure
14580,career opportunities,execution
14581,watson,long
14582,cognitive,market changes
14583,benefits,help institutions
14584,lots,higher
14585,positions,it
14586,many locations,big company
14587,landscape,there
14588,good retirement packages,many processes
14589,good 401k plans,it
14590,growth,big company
14591,healthcare industry,long time
14592,,many
14593,some great people,times
14594,the beginning flexibility,themselves
14595,remote work,no job security
14596,ibm,unorganized
14597,large amount,high profile
14598,opportunities,temp
14599,you,agency
14600,advantage,organizations
14601,them,other big business
14602,you,jobs
14603,,it
14604,large majority,employees
14605,the people,new organization
14606,you,they
14607,the,information
14608,ability,you
14609,the projects,they
14610,you,you
14611,the people,great speech
14612,you,there
14613,great technology,opportunity
14614,good pay,you
14615,work,job
14616,work,the non existent date
14617,home,the contract
14618,great,thing
14619,products,they
14620,really,you
14621,smart people,the job
14622,that,they
14623,the basis,you
14624,,another state
14625,the first place,another contract
14626,good salary,you
14627,ok benefits,the same situation
14628,good pay,recently
14629,good benefits,200
14630,opportunities,employees notices
14631,collaboration,jobs
14632,you,that
14633,remote,the end
14634,most,the day
14635,the time,management
14636,company,you
14637,lots,they
14638,opportunities,you
14639,different departments,the initiative
14640,long time ibmer,them
14641,the company,big company
14642,12 weeks,this
14643,parents,an entry level position
14644,additional,some
14645,mom,the training exercises
14646,births,seasoned sales person
14647,other leading,the commute
14648,company,easier overtime
14649,,the large company environment
14650,no cost health,significant administration work
14651,not dental,high stress
14652,the employee,high pressure
14653,various incentive programs,cap
14654,company hsa contributions,earnings
14655,this position,extreme management overhead
14656,there,no job
14657,an opportunity,security
14658,cross section,little opportunity
14659,dynamic,significant bonuses
14660,the ability,rtp ibm site
14661,benefit,it
14662,interesting work,it
14663,you,gbs
14664,great,last few years
14665,learning,promotions
14666,experience,none
14667,not too,
14668,ot,no respect
14669,fair travel rules,personal time
14670,flex schedule,little salary increase
14671,great benefits,year
14672,vactions,there
14673,the facilities,no negatives
14674,the managers,the lack
14675,great experienc,health care benefits
14676,culture,lot
14677,gbs,the employees
14678,firm,they
14679,access,independent contractors
14680,leading edge tech,they
14681,consulting clients,spectrum projects
14682,flexible,team
14683,great place,poor pay
14684,you,small
14685,10,bonuses
14686,10 years,expensive health care
14687,company,the whole company
14688,ibm,massive mess
14689,good job,no one
14690,people,account
14691,different areas,no one
14692,there,responsibility
14693,ton,anything
14694,such large company,everything
14695,diverse offerings,yourself
14696,ability,company
14697,many aspects,you
14698,opportunities,number
14699,new technologies,the politics
14700,great,business failures
14701,software portfolio,low wages
14702,good benefits,low
14703,smart people,low retention
14704,brand recognition,unstable projects
14705,you,management
14706,the door,efficiency
14707,the workers,the corporate culture
14708,good people,it
14709,they,ibm
14710,whatever,you
14711,hours,there
14712,nice training,no collaboration
14713,people,
14714,several resources,no training
14715,education,you
14716,personal attention,it
14717,part,part
14718,ibm,the watson health business unit
14719,great name recognition,total sinking ship
14720,the ibm culture,many progressive companies
14721,it,flexible work environments
14722,,ibm
14723,not,it
14724,good benefits,this position
14725,work flexibility,
14726,vacation time,any type
14727,company,coaching
14728,integrity,performance
14729,great culture,there
14730,salaries,constant turnover
14731,position,all
14732,smart people,the aforementioned reasons
14733,hard working,as such
14734,action,different managers
14735,opportunities,
14736,many different customers,regret
14737,the country,ibm
14738,many different industries,star
14739,good benefits,management
14740,the price,lot
14741,good leadership training programs,depth
14742,emerging leaders,it
14743,all,the big picture
14744,all,good company
14745,it,poor managers
14746,good company,one thing
14747,head,ibm
14748,the company,middle management
14749,the right place,it
14750,the right goals,the ground
14751,centuries,every step
14752,place,complete lack
14753,life balance,vision
14754,tons,an
14755,opportunities,marketing teams
14756,worklife balance,product strategy
14757,career opps,questionable
14758,nice culture,market research
14759,flexible timings,product capabilities
14760,work,the public
14761,home option,
14762,collaborative tools,
14763,plus,watson
14764,everybody,oncology
14765,,it
14766,work,times
14767,,there
14768,past three letters,no money
14769,ibm,promotions
14770,vacation days,unclearness
14771,nice,even dishonesty
14772,nice,this
14773,steps challenges,there
14774,logging workouts,zero transparency
14775,monetary rewards,absolutely no engagement
14776,an active lifestyle,hr
14777,hsa plan,individual employees
14778,positive,every
14779,dont,few months hundreds
14780,any pros,employees
14781,ibm,ra
14782,you,which
14783,money,
14784,they,any
14785,people,outdated hr policies
14786,little,ibm india employees
14787,no experience,immigration processing
14788,room,employees
14789,growth,employee centric
14790,network,efficacy not
14791,flexible,ibm
14792,great management team,it
14793,good benefits,constant layoffs
14794,nice health insurance,
14795,time,fire
14796,decent vacation days,drills
14797,you,every other day
14798,culture,weekends
14799,the design studio,most
14800,it,org changes
14801,very legacy,every
14802,this,it
14803,division,anything
14804,course,leadership
14805,job security,the
14806,decent salary,ceo
14807,nothing,any sort
14808,industry standard,due diligence
14809,,lots
14810,opportunity,failed initiatives
14811,growth,result
14812,many different functions,this
14813,flexibility,clear
14814,hours,roles
14815,great pay,responsibilities
14816,low cost,result
14817,area,everyone
14818,great 401k,everyone
14819,patent oppotunities,they
14820,quick promotions,no one
14821,you,final decision
14822,yourself,ton
14823,there,no resulting worthwhile actions
14824,commicate,this
14825,very,workshops
14826,environment,95
14827,work,them
14828,home,total waste
14829,good people,time
14830,good marketing campaigns,feedback
14831,college grads,deaf ears
14832,experience,the same organizational
14833,great pay,vast majority
14834,good benefits,leadership
14835,that,incompetent
14836,it,they
14837,big brand,knowledge
14838,big client,the market
14839,traning exposure,modern day digital operation
14840,onsite,
14841,some good offerings,the number
14842,flexible work hours,useless efforts
14843,less pressure,the resulting waste
14844,work,capital
14845,home,turnover
14846,pay,it
14847,smart people,teams
14848,the company,period
14849,clients,months
14850,flexible work schedule,guidance
14851,health benefits,manager
14852,great small comany,figure
14853,local connections,it
14854,respect,valid advice
14855,the individual employee,someone
14856,leadership,you
14857,technology,help
14858,think,various tactics
14859,core principles,career growth
14860,ibm,the biggest project
14861,very good company,the product team
14862,open door policy,the graveyard
14863,strong brand recognition,
14864,some,it
14865,the work life balance,
14866,addition,someone
14867,the actual work,the
14868,,key leadership position
14869,limited travel,
14870,work,the management
14871,home opportunities,period
14872,,yr
14873,weeks,that advice
14874,paternity leave,career growth
14875,the opportunity,gems
14876,jobs,you
14877,ibm,the proposals
14878,something,
14879,me,suggestions
14880,the diversity,teams
14881,the products,mine
14882,market,it
14883,numerous opportunities,certain level
14884,roles,advancement
14885,new skills,people
14886,flexible,leadership
14887,hours,it
14888,work life balance,you
14889,great people,manipulative
14890,great customers,deceptive
14891,the most part,pay
14892,good benefits,competitors
14893,health,communication
14894,ibm,tech skills
14895,good,bottom line
14896,large company,stuff
14897,leverage,an impact
14898,market,the business
14899,share,civil way
14900,ibm,you
14901,some great people,this
14902,them,the right place
14903,tremendous internal resources,you
14904,business,you
14905,sales,decent pay check
14906,ibm,no avail
14907,team,it
14908,this,bad place
14909,necessity,compensation
14910,most deals,offices
14911,enterprise,teams
14912,many moving parts,company
14913,it,itself
14914,technical expert,you
14915,everything,advancement
14916,it,bureaucratic
14917,you,challenging
14918,team,things
14919,additional resources,company
14920,the right value message,lot
14921,ibm,products
14922,reasonable compensation,lot
14923,the role,process
14924,colleagues,long time
14925,good work,an answer
14926,life,company
14927,balance,divestitures
14928,work,you
14929,environment,hours
14930,,people
14931,lot,right skills
14932,there,wrong teams
14933,resources,downsizing
14934,outstanding,contract changes
14935,blue,stress
14936,chip,time difficulties
14937,travel,overload
14938,different places,no family time bureaucratic
14939,many,no enough resources
14940,new faces,no project methodology
14941,great work life balance,long hours
14942,lots,not
14943,vacation,much time
14944,social events,one
14945,every month,position
14946,great coworkers,no loyalty
14947,on,no job security
14948,people,employment stability
14949,ibm,rocky
14950,the pay,best
14951,team environment,technology investment
14952,bright engineers,the us
14953,great environment,force
14954,opportunity,caution
14955,better future,the upper executive rhetoric
14956,very diverse,the consequences
14957,company,it
14958,401k,next quarter
14959,resources,ibm
14960,great health,they
14961,pto benefits,territories
14962,good,you
14963,balance,who
14964,flexible hours,the new
14965,superb customer base,you
14966,diverse job opportunities,five months
14967,some excellent employees,an unrealistic number
14968,the original culture benefits,the majority
14969,work,products
14970,home,you
14971,travel,you
14972,work,the ax
14973,lifestyle,layoffs
14974,ibm,every couple
14975,wide variety,months
14976,opportunities,upper management
14977,part,lack
14978,105 old company,vision
14979,new innovations,lack
14980,,direction
14981,watson,recent years
14982,the market,there
14983,the top,an
14984,,resource actions
14985,there,mixed priorities
14986,multiple opportunities,work
14987,ibm,those
14988,professional development,laser focus
14989,ibm,success
14990,,work
14991,the drucker institute,overtime
14992,place,bureaucracy
14993,leaders,par
14994,ibm,the federal government
14995,some,startup
14996,the best talent,alot
14997,,friction
14998,20,you
14999,year career,an aggressive deadline
15000,ibm,procedures
15001,global reach,you
15002,unique career opportunities,the
15003,consulting,concrete shoes
15004,management,feeling
15005,internal operations,half
15006,passion,any tech
15007,you,they
15008,ibm,half
15009,commitment,exaggeration
15010,service,lots
15011,communities,internal
15012,meaningful way,great ibm
15013,one,they
15014,the best 401,for
15015,,etc
15016,programs,feeling
15017,good benefits package,the
15018,career development opportunities,you
15019,training,you
15020,resources,the top performers
15021,coaching,ibm
15022,mentoring,reputation
15023,scope,new business units
15024,work,they
15025,thought leaders,them
15026,very family,this
15027,friendly company,threat
15028,great home,circle
15029,work balance,the background
15030,,deadlines
15031,ibm,etc
15032,place,that
15033,great benefits,few years
15034,maternity leave weeks,you
15035,home,new role
15036,expectation,many
15037,the office,float
15038,something,ibm
15039,products,
15040,training,more people
15041,some,managers
15042,the people,any other company
15043,india employee,
15044,good benefits,layoffs
15045,great progress,anything
15046,ibm,salaries
15047,the strategic enterprise transformation,standard travel stipend
15048,set,no bonus
15049,the transformation,new computer
15050,operations,lotus notes
15051,,calendar errors
15052,,meetings
15053,organization,etc
15054,april 25,note
15055,the set organizational culture,many
15056,ways,these reviews
15057,working,international employees
15058,mission,
15059,objectives,many services
15060,the key reasons,hr
15061,,it
15062,ibm,procurement
15063,me,india
15064,an opportunity,deadlines
15065,transformation,etc
15066,multiple,lost time
15067,stakeholder management,navel
15068,you,past
15069,new,competitors
15070,the way one,amazon
15071,lot,promotion
15072,great people,benefits
15073,the cull,improvement
15074,senior resources,this company
15075,multiple ibm brands,you
15076,the depth,number
15077,clients,this company
15078,employee empowerment,unmakable quota
15079,work life balance,continued decrease
15080,average benefits,commission percentages
15081,you,stock
15082,nice,shareholders
15083,great colleagues,continued downturn
15084,exciting projects,headcount
15085,incredible freedom,sales
15086,,bad spots
15087,thought,lack
15088,the boundaries,resources
15089,,floortime
15090,the course,daily
15091,33 years,deals
15092,,none
15093,many different types,you
15094,jobs,the time
15095,technical,some departments
15096,software test,current trend enterprise
15097,requirements,too big
15098,management,small message
15099,many companies,the communication channel
15100,amazing people,personnel
15101,pay,certain
15102,you,no career growth
15103,some,opportunities
15104,the most,incompetent management
15105,brightest minds,inefficiency
15106,the industry,the hierarchy
15107,them,talent people
15108,all,fresher relocation
15109,it,the requirement
15110,great place,food corners
15111,you,revenues
15112,one,ibm
15113,you,
15114,jimmy,myself
15115,he,managers
15116,we,work
15117,him,project
15118,anymore,major
15119,great teams,the consulting area
15120,individual personalities,it
15121,pipeline,it
15122,acquisitions,labyrinth
15123,respect,change
15124,the individual 95,some internal processes
15125,brand,you
15126,suite executives,disposable cog
15127,big company,giant
15128,home,every day
15129,that,you
15130,great benefits,one day
15131,vacation time,salary
15132,good company,marketplace constant
15133,general,management team
15134,the friends,you
15135,you,you
15136,large enterprise software provider,increments
15137,ibm,bonuses year
15138,nice people,year
15139,the,no investment
15140,peers,employees
15141,good employees,expectations
15142,good benefits,work opportunities
15143,the it,long hours
15144,arena,
15145,benefits,any
15146,good personnel,no cons
15147,team,this company
15148,pay,dont
15149,the area,no
15150,extra money,little opportunity
15151,extra work,advancement
15152,pain,recent cutbacks
15153,this,overtime
15154,smart coworker,negative outcome
15155,ibm,both customers
15156,everything,they
15157,gbs,any compensation
15158,consulting company,stand
15159,it,health insurance
15160,products company,the company
15161,great,lot
15162,collegues,options
15163,high integrity culture,high
15164,opportunities,questionable direction
15165,overall,the future
15166,great coworkers,the business
15167,good benefits,no loyalty
15168,close commute,employees
15169,hpn airport,the company
15170,ibm,cost reductions
15171,vacation,the face
15172,sick time,little revenue growth
15173,one bucket,people
15174,remote work,it
15175,biggest names,every few years
15176,industry,you
15177,they,security
15178,you,you
15179,top management,choice
15180,they,work
15181,excellent team,1980 hours
15182,highly skilled professionals,year
15183,the team,us
15184,,other time
15185,some,overtime
15186,,the difference
15187,they,every employee
15188,little bit,that
15189,the right direction,it
15190,huge support network,the reviews
15191,learning,someone
15192,lot,them
15193,resources,it
15194,knowledge,sales
15195,fortune,it
15196,company reputation,revenue
15197,lot,it
15198,innovation,something
15199,some sectors,it
15200,excellent people,the quarter
15201,innovative work,they
15202,diverse work force,utilization
15203,work life balance,it
15204,opportunities ability,no training
15205,different job functions,no advancement
15206,large company,some awful
15207,proven track record,managers
15208,career growth travel,some good ones
15209,endless opportunities,
15210,new challenges,anyone
15211,great benefits,day
15212,health insurance,frustrated
15213,good team,year
15214,nice work,morale
15215,option,layoffs
15216,work,
15217,home,the pressures
15218,it,the core values
15219,some,two many layers
15220,people,management
15221,good education,too
15222,empathy,meetings
15223,good job,more
15224,support,talkers
15225,people,doers
15226,,some
15227,work,the meetings
15228,opportunities,corporate environment
15229,leading edge software,there
15230,good company,struggles
15231,the opportunity,things
15232,high impact innovation,you
15233,clients,things
15234,the spacemaker,rules
15235,the team,some
15236,,some
15237,one,the worse
15238,15,we
15239,of,it
15240,500,you
15241,funding,the risk
15242,salaries,organization
15243,colleagues,it
15244,each other,it
15245,big part,the nature
15246,culture,large organizations
15247,everything,red tape
15248,clients,that
15249,devil,all part
15250,the details,the ride
15251,good company,it
15252,some,commute
15253,overall positive work environment,nyc
15254,terrific technical teams,work
15255,support,large global company
15256,people,all deals
15257,very reasonable,every deal
15258,goal,you
15259,tremendous teamwork,all the deals
15260,colleagues,poor management
15261,progressive,no training
15262,company,morale
15263,management,the company
15264,career opportunities,you
15265,lots,401k match
15266,opportunities,december
15267,good work culture,you
15268,the fact,the year
15269,it,match
15270,large company,you
15271,while,reviews
15272,they,the last one left
15273,systems,then managers
15274,place,you
15275,exceptional training,job
15276,the opportunity,ibm
15277,the company,you
15278,,market share
15279,there,cloud
15280,the people,overall revenue
15281,they,profit
15282,exceptional people,schedules
15283,all,quite bit
15284,good work environment,overtime
15285,great team environment,lots
15286,great place,pressure
15287,good work culture,complete projects
15288,good projects,short schedules
15289,lots,downsizing
15290,smart professionals,staff
15291,good work,ibm performance
15292,life,complex
15293,balance,operations oversight
15294,the people,tight leashes
15295,customers,
15296,access,funding
15297,them,the ability
15298,education,things
15299,training,hot area
15300,personal growth,they
15301,opportunities,people
15302,love,entire departments
15303,them,all
15304,they,there
15305,vast amount,jobs
15306,innovation,india
15307,lots,few bucks
15308,it,bit
15309,company,the cheap side
15310,long history,slow moving boat
15311,the challenges,lot
15312,the 21st century,room changing course
15313,competitive pay,market hype
15314,interesting work,the help
15315,room,desk hours
15316,people,
15317,the best,pm
15318,love working,it
15319,here,time
15320,great,medical
15321,very fair company,
15322,legacy,one
15323,hundreds,tangible
15324,years,products
15325,innovation,market
15326,highest patent,
15327,years,watson
15328,last thirty,health
15329,years,you
15330,company,things
15331,this size,everyone
15332,industry direction,some
15333,the technology people,you
15334,passionate,it
15335,dedicated,alot
15336,all,lay offs
15337,project,major affect
15338,the account,customer service
15339,,pay
15340,it,competition
15341,you,constant change
15342,you,accounts
15343,you,it
15344,you,people
15345,great mentors,extra process
15346,employee resource groups,process
15347,corporate service corps opportunity,process
15348,business travel,red tape
15349,you,bureaucracy
15350,the ladder,the way
15351,ibm,you
15352,managers,you
15353,flexibility,warm body
15354,hr support,we
15355,we,you
15356,time,anything
15357,jobs,it
15358,you,some companies order
15359,the company,lunch
15360,there,ibm
15361,many work opportunities,tissues
15362,ibm,the office
15363,the technology field,you
15364,use,better byot
15365,work,it departments
15366,super,decisions
15367,you,level
15368,the little things,the impact
15369,life,it
15370,you,some managers
15371,real difference,good people
15372,the lives,they
15373,children,good employees
15374,pay,them
15375,you,layoffs
15376,the correct accounts,they
15377,great benefits,performance
15378,tons,more political
15379,vacation,ibm
15380,holidays,little loyalty
15381,salary,no time
15382,move,skills
15383,positive work environment,the company
15384,the office,flux
15385,they,the organizations
15386,work,market trends
15387,life,company
15388,balance,frequent layoffs
15389,process,job insecurity
15390,work,employee morale
15391,some,the company
15392,the smartest,ibm
15393,most,
15394,leaders,pressure
15395,access,the
15396,edge technology,an
15397,watson,everyone
15398,computing,themselves
15399,blockchain,job security
15400,quantum computing,super strong
15401,commitment,resource actions
15402,processes,ibm
15403,offerings,lot
15404,culture,career mobility
15405,the next 100 years,they
15406,work,innovation
15407,life,development
15408,balance,advancement
15409,global,rochester
15410,support,technology poor support
15411,diversity,certain products lots
15412,offerings,organizational changes
15413,healthcare,each year revenues
15414,oncology,no support
15415,diabetes,company
15416,impact,ibm
15417,the world,they
15418,personal level,small companies
15419,global company,them
15420,growth opportunity,everyone
15421,ibm,total chaos
15422,ibm,untenable
15423,great place,horrible work culture
15424,enterprise customers,the coppell sales center
15425,variety,unsanitary
15426,modern technologies,work
15427,very,facilities
15428,colleagues,inflexible management
15429,bureaucracy,remote work
15430,thinner,office
15431,autonomy,zero valid need
15432,good,siloed view
15433,balance,the rest
15434,seasoned professionals,ibm
15435,environment,lots
15436,good,workers
15437,compensation,well past age
15438,benefits,shuffling
15439,quality,the office
15440,free online training,poor attitudes
15441,employees,older workers
15442,the virtual office setup,kitchen staff
15443,opportunities,no
15444,career,extreme heat
15445,quality,no food
15446,employees,any point
15447,ibm,poor management
15448,number,competitive pay
15449,projects,extensive experience
15450,you,no ability
15451,advantage,vertical movement
15452,outside,favoritism
15453,they,pay
15454,performance,culture
15455,that,constant pressure
15456,selling point,deadlines
15457,,pay
15458,recent opportunity,market average
15459,the corporate services corp,workload
15460,csc,job advancement
15461,program,multiple role changes
15462,senegal,you
15463,month,pay increase
15464,free consulting services,high turnover
15465,an opportunity,talented employees
15466,several years,better opportunities
15467,three month assignment,legacy systems
