,pro,con
2361,kind,low risk
2362,good vacation,reward
2363,no drama,small thinking
2364,decent workload,the boat
2365,internship,efficiency
2366,weekly presentations,skype
2367,exec,chatops bots
2368,professionals,deploys
2369,excellent educational services division,every sprint
2370,not much,that 10
2371,iconic brand,day nirvana
2372,certain areas,the kitchen someone
2373,rsu,ibuprofen
2374,espp,cups
2375,match,coffee
2376,decent insurance welfare,maybe someone
2377,employers,the amazon way
2378,good reputation,organizational change management
2379,different opportunities,sales cons
2380,adequate praise,too much politics
2381,stocks,slow career progress
2382,excellent collaboration,no permanent seating arrangement
2383,flexible work schedules,desk
2384,reasonable salaries,ethics needs
2385,huge plus,no opportunity
2386,good ot,good way
2387,company cc,workplace perks
2388,differential pay,the surrounding
2389,great development environment,the large tech corporations
2390,attitude,the area
2391,great core businesses,dellemc
2392,server,the type
2393,the solutions division,big tech corporation
2394,flop,superior employees
2395,aim,pretty standard
2396,least,these kinds
2397,payment,market value
2398,challenge,any real progress
2399,pc,moving
2400,networks,couple
2401,software issues,feeling
2402,quick response,just number
2403,execution,spreadsheet
2404,interesting,not person
2405,high regard,sales job
2406,employee growth,any other
2407,strong positive company culture,every direction
2408,upper levels,lob
2409,centric approach,pressures
2410,inside reps,lowest priority
2411,appreciation,sure management
2412,extremely good,no innovation
2413,balance good pay,many changes
2414,this great place,org structure
2415,great decisions,corporate direction
2416,2011,dislike
2417,typical company,corporate level
2418,some bureaucracy,massive benefits
2419,reorgs,employee comp plans
2420,an added bonus,impotent executive leadership
2421,outstanding,some series
2422,good cap,this kind
2423,long employment,big merger
2424,good job flexibility,legacy emc employees
2425,decent holiday hours,micromanaging
2426,accountability,worst place
2427,customer focus,ever
2428,large company stability,less payrate
2429,regular,the position
2430,top places,developers
2431,global companies,technologies
2432,successful company,no time
2433,sales purposes,the formal staff
2434,great learning environment,the intern
2435,the corporate world,all the products
2436,great solutions,downsizing
2437,support organization,moving jobs
2438,interesting customer,frequent
2439,team member,technology way
2440,not an intern,mangers
2441,austin,any value
2442,workloads,that work
2443,it solutions,few team members
2444,engineering careers,hiring
2445,flexible remote,zero technical skills
2446,strong culture,very low pay
2447,excellent employer,the market standard
2448,moms,the upper management
2449,expectations,the employee feedback
2450,the legacy emc acquisition,the same job
2451,super smart talented innovators,other sites
2452,openness,salary increase
2453,hierarchy,antiquated
2454,good relevant projects,health insurance rates
2455,packages,the technical sales rep job
2456,breadth,literal nightmare
2457,overall dell,the vast opportunities
2458,other pros,unfortunately
2459,board,the very end
2460,long periods,dark tunnel
2461,other words,the interview
2462,dell annual survey,the sales position
2463,an opportunity,pages
2464,the rank,pros
2465,an anonymous fashion,those reviewers
2466,this correct problems,liars
2467,challenging managers,the weeks
2468,bad teams,the dell koolaide
2469,big company lots,light
2470,dellemc combined portfolio,the sale
2471,high quality solutions,either
2472,edge data,tears
2473,storage technology,the turnover
2474,paced environment,another job
2475,direct feedback,ha
2476,decent work,18 months
2477,good tools,the sales rolls
2478,great 401k company,all these ridiculous metrics
2479,matching commitment,also beware
2480,charitable,another thing
2481,home policy great facilities,the onboarding
2482,global presence brand cache,living anxiety attack
2483,great comp package,seriously
2484,the database field,research
2485,advancements,the papers
2486,specific teams,passive
2487,some products,aggressive
2488,not management,all the
2489,breed products,head
2490,major spending,confrontation
2491,leadership position,all costs
2492,consolidation,vp
2493,good benefit,lying
2494,professional environment,outright fire someone
2495,exceptional pay,collective iq
2496,excellent commissions,the dumbest company
2497,good pay good benefits,new meaning
2498,jeans,the peter principle
2499,various departments,smart people
2500,new products,the smart people
2501,pay scale,the collective iq
2502,best work environment,petty
2503,decent flexibility,another building
2504,national averages,disposable cups
2505,entire company,signs
2506,xmas,the coffee machine
2507,great city,only people
2508,management encouragement,worst benefits
2509,outside activities,the valley
2510,dont,full stop
2511,no innovation,real third world stuff
2512,package,last year
2513,engineer,something major
2514,view,the only change
2515,result,401k
2516,over eight years,proof
2517,flexible timings,pocket
2518,leading edge projects,routine test
2519,recovery,every other company
2520,treatment,blood tests
2521,high diversity,two months
2522,subsidized services,paycheck
2523,career development workshops,contribution
2524,the desk,god
2525,customer first attitude,btw
2526,data,fan
2527,storage backend infrastructure,drug testing
2528,many layoffs,then dell
2529,many locations,absolutely nothing
2530,great relationships,desktops
2531,around,an operating system
2532,strong leadership,windows
2533,customer centric,access
2534,land,outside internet resources
2535,very ethical,applications
2536,professional,wide spread virus problems
2537,gain great experience,laptop almost
2538,disclosure,fire
2539,2014,the way home
2540,horrible losses,machines
2541,housing,no reason
2542,meeting schedule,ports
2543,verbal recognition,an application
2544,healthcare coverage,every function
2545,accommodations,hundreds
2546,remote worker,pto
2547,six years,ie6
2548,friendly management,permission
2549,new hardware,admin rights
2550,good recognition,accessing email
2551,tasks,the linux engineering community
2552,multiple career paths,the cold
2553,the right people,all meetings
2554,big company benefits,10 minutes
2555,average,skype issues
2556,guess,travel
2557,competitive salaries,published process
2558,flexible work locations,travel other
2559,every team memeber,an executive
2560,amazing field,medical issue
2561,great cafeteria,after
2562,resource groups,doctor
2563,great events,weeks
2564,health insurance,process hurtles
2565,the doors,dispensation
2566,other jobs,business internationality
2567,sandler,every time
2568,excellent vacation,exceptions
2569,pto policies,the division
2570,reston,that report
2571,va,the internal survey
2572,supportive team members,honest feedback
2573,nice place,hr reps
2574,stable life,the heads
2575,good growth,questions
2576,wide,nots
2577,good training opportunities,sr directors
2578,helpful colleagues,phones
2579,voluntary overtime,special laptops
2580,great product suite,other perks
2581,the sky,class system
2582,the ceiling,an expense report
2583,the technical field,1950
2584,core,bottomline here
2585,strong talents,huge problem
2586,customer problems,the expense
2587,professional skills,different race
2588,long lasting relationship,mgr arrogant
2589,other professionals,work force reduction
2590,above average,sour grapes
2591,ok work environment,heck massive company
2592,leasure room,unclear direction
2593,prayer room,mgr
2594,plano campus,another internal position
2595,some exceptional managers,new product initiatives
2596,the noc,change fatigue
2597,that sort,strategic initiatives
2598,he edge,home jobs
2599,the technology,other competitors
2600,the course,the lower pay
2601,the trchnology trends,the policies
2602,other corporate social responsibility efforts,class day
2603,reputation,two
2604,the best benefits,no go
2605,payroll,class
2606,upstart feel,no right
2607,now emc,vac
2608,communication,some restructuring
2609,the hours,bad stuff
2610,medical,parking lot
2611,vision insurance,really any
2612,the best companies,very slow
2613,fluidity growth,tech opportunities
2614,any area,low
2615,technological,little bit
2616,collaboration skills,else you
2617,maintenance,unnecessary animosity
2618,decent amount,workplace
2619,promotion,unawares
2620,outside hires,an open workspace
2621,decent positions,privacy
2622,tx,many times
2623,better place,the responsibilities
2624,social works,the title
2625,open workspace,multiple
2626,scale,standard
2627,dynamic,that scope
2628,great tech,no management development
2629,lack,there certain amount
2630,career path movement,managerial position
2631,available,career development
2632,the glory years,the bottom line
2633,the downturn,this year
2634,the turn,corporate vision
2635,different types,citizen
2636,great connection,the extra work
2637,people here,no shares
2638,flex time,many admin task
2639,excellent leadership,execs
2640,tremendous focus,svp levels
2641,great entry level,all the diff
2642,some people,the younger staff
2643,ces,the negative
2644,decades,predetermined amount
2645,few years,historicals
2646,both pay,project
2647,unique site,500 people
2648,one specific customer,another project
2649,most ces,cafeteria food
2650,leadership strong portfolio,all the hot food options
2651,diligent coworkers,few bucks
2652,workforce,as well
2653,interesting product areas,the enps score
2654,some cases,all the projects
2655,ambiguity,the powerpoint slides
2656,another group,michael
2657,the software,the stories
2658,storage side,modern day sweatshop
2659,the support team,pointless meeting
2660,graduation,each conference
2661,great name recognition,the assigned tasks
2662,customer network,tomorrow
2663,two unified companies,the implication
2664,great learning experiences,the evening
2665,benefits great place,that hour
2666,many different roles,no sleep
2667,strong customer focus,friday afternoon
2668,all the right places,monday
2669,massive product portfolio,needless
2670,workout,vacations
2671,the guts,just work
2672,the carrot,young kids
2673,just,medication
2674,most departments,liability
2675,good colleagues,further liability
2676,roll,the verge
2677,period,collapsing
2678,18,heap
2679,various positions,negative performance reviews
2680,such great company,contrived layoffs
2681,the art technology,then they
2682,all the changes,fresh piece
2683,passionate talented people,meat
2684,the ceo great vision,such an incredible rate
2685,good free lunches,revolving door
2686,the ground level,the front
2687,great collaborators,the building
2688,the individual level,the rate
2689,two managerial levels,sickness
2690,the isilon storage division,several people
2691,other teams,one word
2692,some good opportunity,exploitation
2693,the moment,maximum exploitation
2694,the latest technology,contact
2695,the dell engineering teams,such marxist commodification
2696,great learning experience,human beings
2697,alot,the hr rep
2698,twin,the borg
2699,rock,futile
2700,the federal order management team,the science
2701,the team atmosphere,fiction reference
2702,the insurance,star
2703,huge perk,trek
2704,the vacation benefits,all the long hours
2705,some days,even
2706,an excellent work life balance,this loyalty
2707,such large organization,fact
2708,massive merger,heartbeat
2709,innovator,nickel
2710,great networking culture,virtue
2711,wonderful workplace,vice
2712,career perspective,an inhuman
2713,little,machine
2714,college campus,conscience
2715,the happy hours,contradiction
2716,rewarding atmosphere,striking lack
2717,good enviornment,policy
2718,exercise classes,the treatment
2719,much presure,workers
2720,high caliber,enforcement
2721,little clear direction,coercion
2722,delight,the only form
2723,extremely eager,motivation
2724,guide,gun
2725,quarter,an additional
2726,solid company,the executives
2727,giants,absolute power
2728,still,complicit
2729,first mentality,the corruption
2730,overall benefits,grease
2731,small group,the skids
2732,the small business segment,such way
2733,problem,experts
2734,computers,dishonesty
2735,inbound,the law
2736,the kpi,the dark ages
2737,unlimited overtime,chance
2738,uncapped commission,the story
2739,some weeks,some random day
2740,kpi,every dirty trick
2741,good track record,the book
2742,performance improvement plans,every argument
2743,pips,dictatorship
2744,great numbers,government
2745,the months,condition
2746,both,such conditions
2747,hardware,any disputes
2748,software perspective,justice
2749,the dell network,the company court
2750,another department,every relationship
2751,good chance,other groups
2752,enormous global presence,once management
2753,likely something,trust
2754,day interactions,colleague
2755,donation match,this culture
2756,super flexible,excellence
2757,the one company,incompetent people
2758,the past few years,senior level positions
2759,friendly team,exceptional workers
2760,living promotions,menial jobs
2761,not lot,the point
2762,decent money,titles
2763,latest technology,cheap workers
2764,equipment,talented ones
2765,all hard working,foreigners
2766,some lifelong friends,multiple people
2767,next step,key contributors
2768,the pipeline,the old boy network
2769,huge turn,spider
2770,parking,silo
2771,parties,initiatives
2772,continuous training,the gaps
2773,market share,beaurocractic culture
2774,concepts,the large debt dell
2775,strategies,one none
2776,the next wave,carhop
2777,technological change,home teams
2778,diving,for best team building experience
2779,new concepts,benefits costs
2780,the globe,new plans
2781,every state,pocket expenses
2782,most major cities,long time employees
2783,also,new role
2784,conference,local management
2785,competitive,dell takeover
2786,adequate training,the vibe
2787,many knowledgeable minds,heart attack
2788,personal flexibility,related stress
2789,good opportunity,the young age
2790,starbucks,38
2791,tech sales,wife
2792,the team spirit,several others
2793,flexible work schedule career pathways,similar circumstances
2794,promotable performance,the ambulance
2795,bonus plan,this meat grinder
2796,volunteer efforts,regular basis
2797,air,the rescue
2798,large company plenty,truck parks
2799,other positions,banner
2800,an onsite gym,arbeit macht frei
2801,few location,the next layoff
2802,round rock,blatant effort
2803,good healthcare insurance,anonymity
2804,travel opportunities,copy
2805,terrific,the survey
2806,top notch,an external website
2807,amazing company,the real one
2808,synergy,wonderful job management
2809,ten slaves,raise
2810,contact,all the years
2811,knowledgeable people,the workload
2812,strong position,one job
2813,an infrastructure solutions provider career growth,railroading
2814,geography,innocent people
2815,remote workers,science
2816,networking domain,backstabbing
2817,none currently,the best thing
2818,rotational opportunities,this way
2819,very welcoming intern,concentration camp
2820,the exception,stress level
2821,some stuff,many workers
2822,good pay plenty,reorganization
2823,flexible working environment,eventual downsizing
2824,personal matters,the channel
2825,cloud computing,few
2826,good social interactions,many managers
2827,better work life balance,the remote working culture
2828,friendly policies,only favorites
2829,unlimited work,direct manager
2830,positive direction,no compassion
2831,united states market,tasks
2832,share,inappropriate jokes
2833,pc market,mild bullying
2834,modern tool sets,new tasks
2835,hopkinton offices,employee concerns
2836,amenities,employee progress
2837,gyms,no salary
2838,pool,overall experience
2839,basketball courts,customer service
2840,shuttles,the wind
2841,buildings,the sails
2842,mobile carriers,second rate company
2843,dry cleaning,stuff
2844,insurance providers,put resources
2845,health plan,good plan
2846,nice layoff package,hooray
2847,senior employees,slight drop
2848,the atmoshphere,fast paced work environment
2849,working parents,alignment
2850,this area,pressure handling
2851,steps,customer cases
2852,sure company honors,escalation
2853,rights,the big software
2854,phenomenal people,the smaller companies
2855,cutting edge hr work,anybody work
2856,highly flexible environment,software engineer
2857,remote opportunities,no sexual harassment training
2858,vested,any kind
2859,those people,the grand scheme
2860,descent money,decreasing trend
2861,no life,dellemcer
2862,no desire,business support
2863,any kind,told
2864,s1 pages,best practices
2865,sleep,frequent management changes
2866,every few days,much monthly
2867,workaholic insomniac,recent hike cycles
2868,no family,slow growth rate
2869,high stress,any department
2870,regular management intimidation,the local level
2871,sign,large corporate environment
2872,great enviorment,the computer
2873,great way,good challenge
2874,no experience,every team
2875,communication skills,dead weight
2876,instant name recognition,entire companies performance
2877,career options,100k
2878,no issues,aetna
2879,all stability,manager approvals
2880,great benefit,many metrics
2881,valuable learning,survey
2882,future growth,rdr
2883,definite challenges,the only things
2884,amazing sharp team,surveys
2885,product events,data storage
2886,the pros,the elements
2887,many changes,bad influence
2888,district,the online website
2889,own way,user
2890,perhaps the bonuses,company vision
2891,the best things,overall management
2892,gifts,many layoffs
2893,the queue,all major companies
2894,pace,no scope
2895,winning,high tolerance
2896,action,the management structure
2897,perot systems,changing
2898,the changes,strategic direction
2899,ntt data,redundant sales layers
2900,small environments,performance incentives
2901,biggest projects,high turn
2902,good growths,whole divisions
2903,good personal time management,space
2904,strong management team,very hardware
2905,awesome place,merger company
2906,how,emc conflicts
2907,the resources,2016
2908,all peers,senior engineers
2909,austin texas,apis
2910,constant,junior engineers
2911,strategic clients,this model
2912,new offerings,complete responsibility
2913,the end client,component
2914,immediately,the insights
2915,holiday,implementation details
2916,services division,the apis
2917,awesome initiatives,little idea
2918,extremely,components
2919,job aids,legal team
2920,the emc side,max trust
2921,the house,faulty applications
2922,an emc,untimely filings
2923,the vacation time,illogical suggestions
2924,innovative technology,any glorious blunders
2925,comfortable,immigration purposes
2926,regular meetings,advice
2927,each day,h1b
2928,the constant guidance,rsus
2929,collaborative work environment,the biggest joke
2930,experienced employees,all rsus
2931,new complex projects,tc
2932,potential problems,only small fraction
2933,actons,biscuits
2934,tot ake,dogs
2935,strong bias,the range
2936,persons,vp level
2937,personal needs,this api
2938,someone,gory details
2939,paycheck,several components
2940,good appraisal,clue
2941,review system,technical ability
2942,good benifits,technical decisions
2943,new projects,this cry
2944,coffee,datadomain
2945,the last few years,personal lives
2946,the week,not much communication
2947,reputable name,card balance
2948,the remote work policy,errors
2949,technology giant company,system upgrade
2950,nimble startup,all receipts
2951,decision,glitch
2952,start,expenses
2953,open layout,ticket
2954,fast pace development cycle,internal helpdesk
2955,sound strategy,the ticket
2956,it teams,no actual actions
2957,family work balance,the company part
2958,many projects,large bill
2959,some growing technologies,revenue dmd
2960,cloud management,drug testing policy
2961,big environments,2018
2962,flexibility not,the times
2963,rather large mess,micro
2964,an excellent company,big brother style
2965,the pay package,certain segments
2966,storage strategy,any other sales job
2967,many pros,shoulders
2968,foundation,the previous quarter
2969,glass door,mistakes
2970,input,the price
2971,20 words,the services division
2972,fifteen,slow pace
2973,plethora,various roles
2974,job opportunities,the vp level
2975,different careers,circus
2976,strong focus,colleagues
2977,an environment,no complaints
2978,stable,little fish
2979,training employees,big pond
2980,the start,only about emc
2981,the higher management,quarter end
2982,senior management,competitive industry
2983,concern,known established wage range
2984,the comment,straight dollar amounts
2985,line managers,blended buckets
2986,favorites,lower position
2987,talent,an opportunity
2988,security analyst,mentor
2989,great diversity,the senior technical writer
2990,excellent name,young writers
2991,free stuff,an upward battle
2992,the first time,day job
2993,furlough,other comparable organizations
2994,mr,lunch
2995,the second time,thing
2996,customer escalation,the workers job stress
2997,home self,regulation
2998,workload opportunity,for many change
2999,first job,complexity
3000,each,not job
3001,great office space,the faint
3002,open space,all the classic problems
3003,easy transitioning,large corporations
3004,senior,redundant layers
3005,pm,shifts
3006,good work life,organizational strategy
3007,the large,organizational change
3008,summary info,laggard thinking
3009,public website,customer centriciity
3010,wellatdellbenefits dot com,product development
3011,good patent,the pecking order
3012,annual bonus,break fix
3013,company performance,break
3014,benefits package,giant nebulous innovation
3015,free lunches,new technology
3016,world class sales force,the two companies
3017,some good management,the emc culture
3018,paid vacation,an all hands
3019,paid holiday leave,deck approach
3020,profitable company,more ego
3021,financial future,an acquisition
3022,overall wonderful place,company not
3023,great kitchen,cloud
3024,free coffee,still competitive environment
3025,individual environment,mind set
3026,other managers,dell emc integration
3027,401 matching,some parts
3028,health care,the account
3029,huge,the emc merger
3030,goals,the usual places
3031,multiple sources,old technologies
3032,avail oneself,latest ones
3033,information,not good benefits
3034,willing,california employees
3035,great coworker,boring same work
3036,team players,no fast growth
3037,friendly atmosphere,show
3038,some positions,poor program planning
3039,home full time,holidays
3040,home part time,fast pace
3041,affordable location,stockholders
3042,the latest technology many opportunities,individual performance
3043,older people,global hours
3044,biggest,corporate strategy changes
3045,value proposition,workforce
3046,remote workforce,global model
3047,work location,related career opportunities
3048,customers products,business unit leadership
3049,services,slow momentum
3050,edge,the standard processes
3051,compatible pay,ones job
3052,great bosses,high level
3053,many worker perks,disconnect
3054,friendly smart people,no longer local hr
3055,every leader,only hr
3056,dull moment,dell hq
3057,some part,tx
3058,an industry leader,online chat
3059,schedules,local hr
3060,60ish hour,false advertisement
3061,week type,enjoyable
3062,great health insurance,ice
3063,anybody,cream socials
3064,nice work environment,smoke screen
3065,arrangements,not disgruntled employee
3066,not much stress,longer
3067,definite,really stressful
3068,laser focus,all day
3069,name recognition,certain bus
3070,endless career opportunity,each account
3071,collaborative environment,more time
3072,changing,middle managers
3073,partner,leadership skills
3074,schedule flexibility,no clear coaching
3075,an internal network,no clear company story
3076,this process,onboarding
3077,the difference,some buildings
3078,good learning experience,global team
3079,succession,interaction
3080,devoted workers,other global regions
3081,big reasons,strange culture
3082,an amazing company,both employees
3083,the warning,enterprise customers
3084,mates,the dell culture
3085,multi,an infection
3086,nice apartments,gold standard enterprise company
3087,an emphasis,the debt
3088,acquisition,toll
3089,sales reps,an uneasy atmosphere
3090,the field teams,daily job
3091,entry level opportunities,few promotions
3092,decent health benefits,the only company
3093,an organization,annual
3094,the great people,political complexity
3095,the necessary resources,the leaders
3096,the corporate culture,higher level
3097,few colleagues,the question
3098,the same passion,that decision
3099,the k12,no way
3100,space,hell
3101,edtech team,these people
3102,great career opportunities,employee sanity
3103,home quite,seattle area
3104,bit,no real upward technical path
3105,opportunity storage,any real career advancement
3106,network technologies,noise
3107,one place,mentoring
3108,awesome work culture,not growth
3109,movie discounts,no encouragement
3110,dell name,the best overview
3111,the data center market,arrival
3112,lap tops,over
3113,core business,trainings
3114,moves,that knowledge
3115,glacier,particular
3116,global company,private conversation
3117,the process,an employee
3118,nuances,too corporate
3119,the internal hires,sweatshop
3120,these nuances,modern company
3121,hr,the only employees
3122,most business groups,full time
3123,the campus,industry standard
3124,christmas benefits,erp
3125,situation,any tiney maual mistake
3126,large commission checks,jerks
3127,account,team members
3128,attainable quota,the cost
3129,private,future opportunities
3130,working conditions,any right
3131,an excellent benefit,locations
3132,good benefits package,cost center
3133,same company,the opportunities
3134,good future vision,the engineering department
3135,fantastic work,managemdnt
3136,flexible work arrangements,info
3137,broad learning experiences,big organization
3138,data quick,easier path
3139,previously good cafeteria,perspective
3140,outings,more configuring
3141,team building activities,throes party systems
3142,competitive pa,actual development
3143,stock options etc,the online team
3144,merit,disaster
3145,leading edge issues,micro managing
3146,ample access,finest
3147,frank feedback,consistent
3148,cash bonuses,true issue
3149,solid leave plan,anywhere
3150,good vacation plan,certain teams
3151,calm technical people,big historical quota blues
3152,rsa division,separate entities
3153,edge techology,many process
3154,home work life balance,corporate
3155,company internal movement,not good payer
3156,the new hires,not good work
3157,the light,constant layoffs
3158,remote work flexibility,united states
3159,giant,more layoffs
3160,the department,growth opportunities
3161,the cafeteria food,the beast
3162,healthy variety,new hiring training
3163,the fitness facilities,direct sales
3164,the monthly investment,more support
3165,global organization,yes
3166,process excellence,qtr
3167,smart coworkers,sales targets
3168,online training resources,8x
3169,nothing ground breaking,calendar qtr
3170,the norm,fiscal qtr
3171,big name company,the us
3172,nice program,big investments
3173,interesting technologies,survival
3174,excellent work environment,very fewer
3175,cooperative colleagues,salary hikes
3176,lots opportunities,complicated internal ecosystem
3177,technical track,few months
3178,all hands,bad
3179,deck attitude,some other companies
3180,totally supportive,west coast presence
3181,creative,pains
3182,ta leaders,recent acquisitions
3183,great leaders,nonsense
3184,women,hand holding
3185,remote work office,sink
3186,the autonomy,must
3187,recognitions,order
3188,productivity,those things
3189,free snacks,some challenges
3190,power games,trust only
3191,team environment,instability
3192,product responsibilities,every role
3193,the features,every one
3194,customer experience,personal experience
3195,the co workers,top performers
3196,adults,some negative impact
3197,each division,some poor ideas
3198,batch mates,the incoming company
3199,other big companies,human resources
3200,other people,stock purchase program
3201,industry leaders,no comparable replacement
3202,direct managers,standard ote
3203,overall,commissions
3204,energetic environment,mid level management
3205,strategic visibility,any courage
3206,the past,spreadsheets
3207,some great managers,the best salary
3208,business line managers,different positions
3209,very professional environment,constant customer satisfaction issues
3210,much room,product quality
3211,pay check,solutions engineering
3212,smart acquisition strategy,administrative tasks
3213,ebc,fire drills
3214,the bay area,corp slackers
3215,purchase,edge
3216,santa clara facility,potential job functions
3217,offshore indian management,no real cache
3218,base pay,tech industry everything
3219,the dell campus,risk
3220,the best place,usually work
3221,ma,pressure tools
3222,diversity culture,some improvements
3223,enormous engine,tight control
3224,marketing,all the way
3225,very solid organization,financials
3226,most sellers,none everthg
3227,the compensation package,change emc
3228,move,not all teams
3229,many great employee perks,latest technology
3230,tse,any negative aspects
3231,the environments,this role
3232,three months,good experiences
3233,full commission,down time
3234,enviroment,employee appreciation
3235,the dell marketing university,legal
3236,amazing resource,blame
3237,marketing subjects,the bus
3238,social media,an atmosphere
3239,lean times,each other wrong
3240,growing pay scales,the betterment
3241,mentoring,an overabundance
3242,alternate careers,meaningless internal meetings
3243,telework policy,real work
3244,excellent coworkers,less salary
3245,excellent products,good boss
3246,too much pressure,de
3247,total focus,difficulty
3248,the bottom line,lines
3249,innovators,measurement culture
3250,successful business model,management lack
3251,core competencies,pay inequality
3252,social,less experience
3253,making connections,experienced people
3254,strong leadership managers,proper appreciation
3255,customer satisfaction,joke
3256,no time,yet management
3257,commute,massive layoffs
3258,certs,last 24 months
3259,mediocre people,future
3260,star,long term role employees
3261,service,victim
3262,available 24x7,lateral movement
3263,flexible job environment,inconsistent
3264,wfh option,terrible forecasting
3265,legacy emc,high call volume
3266,remote employee,unprofessional supervisors
3267,newest technologies,bad time
3268,ample opportunities,remote workforce
3269,understanding,something new
3270,different functions,acquistion
3271,the legacy dell emc sales,frequent layoffs
3272,diverse employees,cap
3273,new,blue birds scenarios
3274,level,this prior
3275,demonstrated leader,tech company
3276,the community,office
3277,an amazing severance,good luck
3278,the only benefits,corporate propaganda emails
3279,reasonable travel,robot
3280,fair benefits,17 layers
3281,sick day,hr filtering
3282,equal opportunity company,no change
3283,sales organization,promising company
3284,early morning,big profit margin
3285,night conference,bunch
3286,this flexibility,the bare bone
3287,better,no good pay
3288,more vacation time,consolidated
3289,opportunities community,the wrong type
3290,backs,those roles
3291,no day,any mgmt talent
3292,independence,shame
3293,global experience,2015
3294,large diversity,enough resources
3295,excellent training programs,the higher ups
3296,direct mgmt,the customer pay
3297,awesome people,the area comps
3298,thats something,little work life balance
3299,amazing environment,automated systems
3300,online training,little human intervention
3301,the mix,work work work work
3302,none none,the training program
3303,none none none none,everybody
3304,integration,sometimes ambiguous
3305,the size,low integrity
3306,fast work flow,new eden prairie management
3307,great manager,some major curveballs
3308,some teams,the enterprise support front line phone agents
3309,brilliant people,values
3310,average compensation,outsiders
3311,relaxed work culture,insiders
3312,the box,are
3313,the senior leadership team,different business models
3314,the largest company,it infrastructure
3315,the smallest,outdated home
3316,true team environment,utah
3317,the most part people,casual setting
3318,dell employees,no clear indicators
3319,tx location,the high attrition
3320,complete employee experience,nearly two years
3321,right path,several redundancies
3322,much politics,the knowledge base
3323,hasty decisions,code base
3324,home capability,crm
3325,personal things,inequality
3326,great health benefits,almost zero accountability
3327,great solid company,support staff
3328,good cash flow,unequal pay
3329,challenging environment,the same work
3330,site cafe,the same skills
3331,barista,few businesses
3332,customer issues,dell emc acquisition
3333,motivated individuals,free snacks
3334,special interest,other departments
3335,organizing hackathons,workflow tools
3336,patent applications,maternity
3337,internal trainings,paternity benefits
3338,educational reimbursements,no concept
3339,fantastic colleagues,outdated office buildings
3340,technically,strategy swings
3341,the leadership resources,private company
3342,hence much,all the shortcomings
3343,the pressure,corporate attitude steps
3344,releases,cultural values
3345,local universities,managmenet
3346,aggressive sales,overlaping
3347,micheal dell,enterprise computing
3348,the comfort,small circles
3349,good wages,tough working environment
3350,good workload,analysis paralysis
3351,the enterprise storage group,the ball
3352,nearly every single day,the impact
3353,the world work,credit place
3354,all the tools,blame culture
3355,great connections,ability
3356,sales person,poor training
3357,the tech world,pay bumps
3358,all the training,folks
3359,first class sales,same positions
3360,great documentation,spif restrictions
3361,outstanding technologies,health insurance benefits
3362,17 years,the past couple
3363,sick day policy,the month
3364,nice manager,the quarter
3365,enormous opportunity,the great deals
3366,everyday presents,town
3367,new challenge,deep discounts
3368,the product,deals
3369,flexible vacation planning,near term
3370,total benefits package,the customer
3371,training programs,any number
3372,strength,the pressure tactics
3373,dell emc brand,deal breaker
3374,an excellent culture,accounts
3375,the small company culture,quarter deals
3376,the it,the quota
3377,environments scale,possible broken promises
3378,small partners,the new guy
3379,some security,the sales jobs
3380,good expense policy,the guys
3381,long time employees,last
3382,basic benefits,few good established accounts
3383,efficient process,top performer
3384,others places,long term project
3385,similar roles,you butter
3386,an additional,the better probability
3387,each year,visa stay
3388,avenues,mostly everyone
3389,sales perspective,visa
3390,diverse portfolio,residency
3391,good benefits opportunity,the partner
3392,growth growing company,same salary
3393,local,meager benefits
3394,flextime,no 401k
3395,flex schedule,no expenses
3396,over ten years,any severance
3397,happy hours,partner position
3398,break area,the businesses
3399,increase,specific ways
3400,home ppl,software company dell
3401,2020,department heads
3402,great communication skills,new ideas
3403,relational skills,micro managers
3404,great brand,an enormous drive
3405,reasonable pay,the boss
3406,deal,the whims
3407,the devil,pathological organizational culture
3408,the engineering team,almost no one
3409,not all,constructive feedback
3410,local management,any honesty
3411,all pros,interpersonal issues
3412,the dell merger,little honesty
3413,free parking,higher role
3414,strong emphasis,very matrix
3415,employee development,video training
3416,this option,fire house
3417,the right level,no free lunches
3418,not the worst,those type
3419,flexible work location,cut throat
3420,ample vacation days,staff
3421,many great engineers,the same time
3422,awesome experience,large company problems
3423,salary workers,health insurance provider
3424,the entire company,low compensation
3425,the employee population,engineering positions
3426,the best outcome,pc company executive
3427,great pay flexible hours time,tech leaders
3428,better severance,virtualization
3429,flex hours,high end storage
3430,open communication,cloud native
3431,scope,all flashy show
3432,many avenues,the internal
3433,good technical challenges,no substance
3434,excellent leadership team,the show
3435,organisation,commitment
3436,thanks,legacy dell culture
3437,abhijit,an albatross
3438,gain,the necks
3439,lovely environment,the company divisions
3440,that bonus,private equity interests
3441,many bright employees,limited
3442,many areas,minnesota location
3443,the tech field,actual knowledgable technicians
3444,much experience,okc
3445,certificate earning,so support
3446,company integrity,good name
3447,corporate social responsibility initiatives,the support
3448,fun people,typical call center
3449,good mentors,delta
3450,good knowledge,the worst application
3451,the supply chain process,dell product
3452,dell business,useless managers
3453,good insurance,half
3454,objectives,the job cuts
3455,the majority,the slack
3456,strong ethics,dell job practices
3457,best technology,gsap employee
